frame1,frame2,image_diff,gt_diff,,,,,,
00053921.png,00053922.png,4.75320434570313,1.53281533718109,,,,,,0.1
00053922.png,00053923.png,4.65874099731445,1.33054780960083,0.20,,,,,
00053923.png,00053924.png,4.67047739028931,1.33272230625153,0.00,,,,,
00053924.png,00053925.png,4.70143556594849,1.43962526321411,0.11,,,,,
00053925.png,00053926.png,6.95311307907105,1.97641491889954,0.54,,,,,
00053926.png,00053927.png,4.7509880065918,1.93804681301117,0.04,,,,,
00053927.png,00053928.png,4.77689218521118,1.99846351146698,0.06,,,,,
00053928.png,00053929.png,4.85362386703491,1.72581398487091,0.27,,,,,
00053929.png,00053930.png,4.96040201187134,1.99502992630005,0.27,,,,,
00053930.png,00053931.png,7.68029356002808,2.11160492897034,0.12,,,,,
00053931.png,00053932.png,5.1453070640564,1.48289251327515,0.63,,,,,
00053932.png,00053933.png,5.10952281951904,1.65467834472656,0.17,,,,,
00053933.png,00053934.png,5.01418447494507,1.61606383323669,0.04,,,,,
00053934.png,00053935.png,4.90256786346436,1.6697438955307,0.05,,,,,
00053935.png,00053936.png,6.78168964385986,2.27429056167603,0.60,,,,,
00053936.png,00053937.png,4.5830569267273,1.62548851966858,0.65,,,,,
00053937.png,00053938.png,4.77681016921997,1.56703460216522,0.06,,,,,
00053938.png,00053939.png,5.02830600738525,1.31262731552124,0.25,,,,,
00053939.png,00053940.png,7.94567203521729,1.77755117416382,0.46,,,,,
00053940.png,00053941.png,5.24064207077026,1.37777101993561,0.40,,,,,
00053941.png,00053942.png,5.11221075057983,1.60888266563416,0.23,,,,,
00053942.png,00053943.png,4.90899038314819,1.36867427825928,0.24,,,,,
00053943.png,00053944.png,4.76658535003662,1.2682774066925,0.10,,,,,
00053944.png,00053945.png,6.99555492401123,1.67210209369659,0.40,,,,,
00053945.png,00053946.png,4.65347337722778,1.58651328086853,0.09,,,,,
00053946.png,00053947.png,4.65359163284302,1.77656447887421,0.19,,,,,
00053947.png,00053948.png,4.68234014511108,1.82064568996429,0.04,,,,,
00053948.png,00053949.png,6.97750234603882,2.09026527404785,0.27,,,,,
00053949.png,00053950.png,4.90511417388916,2.36419606208801,0.27,,,,,
00053950.png,00053951.png,5.01693058013916,2.83629775047302,0.47,,,,,
00053951.png,00053952.png,5.16355514526367,1.85840177536011,0.98,,,,,
00053952.png,00053953.png,5.27198839187622,1.66617238521576,0.19,,,,,
00053953.png,00053954.png,8.1148796081543,2.34971594810486,0.68,,,,,
00053954.png,00053955.png,5.01221609115601,1.68663096427917,0.66,,,,,
00053955.png,00053956.png,4.89567375183106,1.66118681430817,0.03,,,,,
00053956.png,00053957.png,5.08096075057983,2.04172301292419,0.38,,,,,
00053957.png,00053958.png,5.41798973083496,1.79737222194672,0.24,,,,,
00053958.png,00053959.png,5.74497699737549,1.44023001194,0.36,,,,,
00053959.png,00053960.png,9.77534866333008,2.30547308921814,0.87,,,,,
00053960.png,00053961.png,5.8237042427063,1.58144962787628,0.72,,,,,
00053961.png,00053962.png,5.64519548416138,1.94394195079803,0.36,,,,,
00053962.png,00053963.png,9.05432319641113,2.68328452110291,0.74,,,,,
00053963.png,00053964.png,5.92675828933716,2.10982012748718,0.57,,,,,
00053964.png,00053965.png,5.81811380386353,2.19858264923096,0.09,,,,,
00053965.png,00053966.png,6.19233131408691,2.80984711647034,0.61,,,,,
00053966.png,00053967.png,9.80322647094727,3.18713402748108,0.38,,,,,
00053967.png,00053968.png,6.39627647399902,1.97029459476471,1.22,,,,,
00053968.png,00053969.png,6.49744701385498,2.41851282119751,0.45,,,,,
00053969.png,00053970.png,6.56183528900147,2.03052520751953,0.39,,,,,
00053970.png,00053971.png,6.67703819274902,2.56819295883179,0.54,,,,,
00053971.png,00053972.png,10.8196067810059,3.19889044761658,0.63,,,,,
00053972.png,00053973.png,6.86270618438721,2.27909326553345,0.92,,,,,
00053973.png,00053974.png,6.82047033309937,2.53286695480347,0.25,,,,,
00053974.png,00053975.png,7.01568222045898,3.17872262001038,0.65,,,,,
00053975.png,00053976.png,7.37667322158814,3.10751438140869,0.07,,,,,
00053976.png,00053977.png,7.35747289657593,2.34821033477783,0.76,,,,,
00053977.png,00053978.png,12.0487022399902,3.39183306694031,1.04,,,,,
00053978.png,00053979.png,7.89137315750122,2.01367855072022,1.38,,,,,
00053979.png,00053980.png,7.79534101486206,2.61811494827271,0.60,,,,,
00053980.png,00053981.png,7.84103727340698,2.6681866645813,0.05,,,,,
00053981.png,00053982.png,12.1774263381958,4.54300880432129,1.87,,,,,
00053982.png,00053983.png,7.67974901199341,2.86795377731323,1.68,,,,,
00053983.png,00053984.png,7.71249723434448,4.24076461791992,1.37,,,,,
00053984.png,00053985.png,7.93777132034302,4.08270072937012,0.16,,,,,
00053985.png,00053986.png,7.9529128074646,3.26157689094543,0.82,,,,,
00053986.png,00053987.png,11.7048788070679,4.37930774688721,1.12,,,,,
00053987.png,00053988.png,7.97878360748291,5.15489673614502,0.78,,,,,
00053988.png,00053989.png,7.55969047546387,5.49962615966797,0.34,,,,,
00053989.png,00053990.png,11.7003126144409,6.11672258377075,0.62,,,,,
00053990.png,00053991.png,7.55924463272095,5.14329099655151,0.97,,,,,
00053991.png,00053992.png,7.48201417922974,4.72933101654053,0.41,,,,,
00053992.png,00053993.png,7.49120855331421,5.21127510070801,0.48,,,,,
00053993.png,00053994.png,7.3014988899231,6.09180212020874,0.88,,,,,
00053994.png,00053995.png,11.2101602554321,6.51997947692871,0.43,,,,,
00053995.png,00053996.png,6.76751613616943,5.1705846786499,1.35,,,,,
00053996.png,00053997.png,6.78921318054199,4.80034780502319,0.37,,,,,
00053997.png,00053998.png,6.75720119476318,4.65411996841431,0.15,,,,,
00053998.png,00053999.png,6.81329393386841,4.03144359588623,0.62,,,,,
00053999.png,00054000.png,6.78746461868286,4.15036773681641,0.12,,,,,
00054000.png,00054001.png,10.4875364303589,5.78820991516113,1.64,,,,,
00054001.png,00054002.png,7.04867935180664,4.33291530609131,1.46,,,,,
00054002.png,00054003.png,7.05116128921509,3.78140234947205,0.55,,,,,
00054003.png,00054004.png,6.93181657791138,4.21108961105347,0.43,,,,,
00054004.png,00054005.png,10.798659324646,4.955894947052,0.74,,,,,
00054005.png,00054006.png,7.36024379730225,3.97821378707886,0.98,,,,,
00054006.png,00054007.png,7.43080186843872,3.45139455795288,0.53,,,,,
00054007.png,00054008.png,11.2668399810791,3.81440925598145,0.36,,,,,
00054008.png,00054009.png,7.31983232498169,2.85148978233337,0.96,,,,,
00054009.png,00054010.png,7.18816566467285,3.02130246162415,0.17,,,,,
00054010.png,00054011.png,7.17243385314941,3.62448072433472,0.60,,,,,
00054011.png,00054012.png,10.8845386505127,3.88901853561401,0.26,,,,,
00054012.png,00054013.png,7.24165773391724,2.78264021873474,1.11,,,,,
00054013.png,00054014.png,7.27641820907593,3.16242003440857,0.38,,,,,
00054014.png,00054015.png,7.34324741363525,2.54335880279541,0.62,,,,,
00054015.png,00054016.png,7.29001760482788,2.6407995223999,0.10,,,,,
00054016.png,00054017.png,10.2988920211792,4.1524395942688,1.51,,,,,
00054017.png,00054018.png,6.86955404281616,2.64616894721985,1.51,,,,,
00054018.png,00054019.png,6.84621572494507,2.79914879798889,0.15,,,,,
00054019.png,00054020.png,10.4244384765625,4.06416082382202,1.27,,,,,
00054020.png,00054021.png,6.88389110565186,3.10565876960754,0.96,,,,,
00054021.png,00054022.png,7.00631332397461,2.68852281570435,0.42,,,,,
00054022.png,00054023.png,7.18219614028931,3.25157690048218,0.56,,,,,
00054023.png,00054024.png,7.17717123031616,3.43508815765381,0.18,,,,,
00054024.png,00054025.png,7.08821678161621,2.71106004714966,0.72,,,,,
00054025.png,00054026.png,7.0286169052124,3.07400512695313,0.36,,,,,
00054026.png,00054027.png,10.9457349777222,4.27178764343262,1.20,,,,,
00054027.png,00054028.png,6.91291284561157,3.10913300514221,1.16,,,,,
00054028.png,00054029.png,7.09086608886719,3.12161803245544,0.01,,,,,
00054029.png,00054030.png,7.13074207305908,3.12318420410156,0.00,,,,,
00054030.png,00054031.png,7.28674077987671,3.23598861694336,0.11,,,,,
00054031.png,00054032.png,7.3976321220398,2.71659970283508,0.52,,,,,
00054032.png,00054033.png,11.2929668426514,4.01138925552368,1.29,,,,,
00054033.png,00054034.png,7.07075834274292,2.99332070350647,1.02,,,,,
00054034.png,00054035.png,6.98994016647339,3.75145196914673,0.76,,,,,
00054035.png,00054036.png,10.5659914016724,4.48978996276856,0.74,,,,,
00054036.png,00054037.png,7.06560659408569,3.34860038757324,1.14,,,,,
00054037.png,00054038.png,7.1823091506958,3.40454721450806,0.06,,,,,
00054038.png,00054039.png,7.29767560958862,3.75972032546997,0.36,,,,,
00054039.png,00054040.png,7.34676647186279,3.91704869270325,0.16,,,,,
00054040.png,00054041.png,11.4349212646484,5.03114080429077,1.11,,,,,
00054041.png,00054042.png,7.71046018600464,3.77672553062439,1.25,,,,,
00054042.png,00054043.png,7.91052341461182,3.26428484916687,0.51,,,,,
00054043.png,00054044.png,7.94886302947998,3.0108048915863,0.25,,,,,
00054044.png,00054045.png,7.99426937103272,3.10928297042847,0.10,,,,,
00054045.png,00054046.png,7.97618198394775,2.77991986274719,0.33,,,,,
00054046.png,00054047.png,12.0858392715454,4.20276737213135,1.42,,,,,
00054047.png,00054048.png,8.04758167266846,3.15714740753174,1.05,,,,,
00054048.png,00054049.png,8.11556625366211,2.95095729827881,0.21,,,,,
00054049.png,00054050.png,12.4609088897705,3.92344999313355,0.97,,,,,
00054050.png,00054051.png,8.0841760635376,3.17148923873901,0.75,,,,,
00054051.png,00054052.png,8.08459854125977,4.44186687469482,1.27,,,,,
00054052.png,00054053.png,7.84730529785156,3.1567645072937,1.29,,,,,
00054053.png,00054054.png,7.80576181411743,3.33632516860962,0.18,,,,,
00054054.png,00054055.png,7.73007965087891,2.35493683815002,0.98,,,,,
00054055.png,00054056.png,11.5893983840942,3.05262637138367,0.70,,,,,
00054056.png,00054057.png,7.36429214477539,2.06077980995178,0.99,,,,,
00054057.png,00054058.png,10.9355382919312,3.13678812980652,1.08,,,,,
00054058.png,00054059.png,7.04965782165527,2.93772912025452,0.20,,,,,
00054059.png,00054060.png,10.3972043991089,3.20129442214966,0.26,,,,,
00054060.png,00054061.png,7.66000366210938,2.09431672096252,1.11,,,,,
00054061.png,00054062.png,7.59074068069458,2.45198822021484,0.36,,,,,
00054062.png,00054063.png,7.06029987335205,2.11059165000916,0.34,,,,,
00054063.png,00054064.png,6.88996505737305,1.83927762508392,0.27,,,,,
00054064.png,00054065.png,10.1795864105225,1.97623217105865,0.14,,,,,
00054065.png,00054066.png,7.34241628646851,1.47338056564331,0.50,,,,,
00054066.png,00054067.png,7.99916076660156,1.66419565677643,0.19,,,,,
00054067.png,00054068.png,7.38692188262939,1.62227380275726,0.04,,,,,
