Name,ID,Has Instance,Segmentation Color
Unlabeled,0,False,"(0, 0, 0)"
Static,4,False,"(0, 0, 0)"
Dynamic,5,False,"(111, 74, 0)"
Ground,6,False,"(81, 0, 81)"
Road,7,False,"(128, 64, 128)"
Sidewalk,8,False,"(244, 35, 232)"
Parking,9,False,"(250, 170, 160)"
Rail track,10,False,"(230, 150, 140)"
Building,11,False,"(70, 70, 70)"
Wall,12,False,"(102, 102, 156)"
Fence,13,False,"(190, 153, 153)"
Guard rail,14,False,"(180, 165, 180)"
Bridge,15,False,"(150, 100, 100)"
Tunnel,16,False,"(150, 120, 90)"
Pole,17,False,"(153, 153, 153)"
Pole group,18,False,"(153, 153, 153)"
Traffic light,19,False,"(250, 170, 30)"
Traffic sign,20,False,"(220, 220, 0)"
Vegetation,21,False,"(107, 142, 35)"
Terrain,22,False,"(152, 251, 152)"
Sky,23,False,"(70, 130, 180)"
Person,24,True,"(220, 20, 60)"
Rider,25,True,"(255, 0, 0)"
Car,26,True,"(0, 0, 142)"
Truck,27,True,"(0, 0, 70)"
Bus,28,True,"(0, 60, 100)"
Caravan,29,True,"(0, 0, 90)"
Trailer,30,True,"(0, 0, 110)"
Train,31,True,"(0, 80, 100)"
Motorcycle,32,True,"(0, 0, 230)"
Bicycle,33,True,"(119, 11, 32)"
